exporter,consignee,pre_carriage_by,place_of_receipt,vessel_flight_no,port_of_loading,lc_no,port_of_discharge,final_destination,bl_awb_no,marks_nosandcontainer_no,num_and_kind_of_pkgs,description_of_goods,quantity,destination,consignor,invoice_number,manufacturer,nationality,total_quantity,date,exporter_signature,certification_place
Allen Group,Scott Harvey,I,South Yvette,VES152,South Janet,LC00794,New Shawn,Adrianmouth,AWB2205672,PKG377/CONT7650,arm,Profound intermediate hardware,21,North Heidi,Monica Marks,INV70914,"Clark, Mcgee and Hawkins",Moldova,734,2020-11-23,Lynn Taylor,Brittanystad
Bates PLC,Karen Chavez MD,statement,North Dalefort,VES211,West Jerry,LC87513,Cynthiatown,West Ronaldtown,AWB7701247,PKG766/CONT5978,water,Object-based didactic alliance,38,West Meredithbury,Jessica Odonnell,INV09405,Martinez Ltd,Ecuador,426,1979-12-18,Nicole Fuentes DVM,East Danielchester
Williams-Fields,Kevin Taylor,score,Adrianshire,VES331,Michaelside,LC93390,South Gregoryborough,New Ryan,AWB3101450,PKG941/CONT8615,sure,Innovative regional Internet solution,68,Port Nicholasside,John Brown,INV64914,Nichols Inc,Bermuda,764,2007-05-11,Danielle Brooks,Nathanchester
"Torres, Castro and Adams",Abigail Rodriguez,light,Jameshaven,VES588,Elizabethstad,LC91691,Jessicaside,East Richardbury,AWB6606639,PKG247/CONT2634,value,Versatile multi-state Local Area Network,80,Port Connorchester,Samantha Morales,INV98434,Gill-Beck,Bouvet Island (Bouvetoya),165,1983-05-04,Tina Reed,Jodiborough
"Mueller, Sullivan and Smith",Melissa Black,daughter,Andrewtown,VES120,Thomasshire,LC86429,New Thomas,East Robertfort,AWB8912817,PKG706/CONT6006,executive,Team-oriented contextually-based hierarchy,34,Ruthton,Tamara Reed,INV75972,"Gould, Thornton and Burke",Antigua and Barbuda,841,1975-02-03,Chris Anderson MD,Meghanside
Allison Ltd,Kristy Guzman,during,Tylerchester,VES575,West Angelaland,LC44036,Carriefurt,North Valeriefort,AWB1052018,PKG031/CONT3538,culture,Business-focused 24/7 encoding,23,Mcdowellfort,Jessica Glover,INV22962,"Cooper, Kim and Robinson",Dominica,590,2017-09-25,Wesley Chambers,Wrightberg
Riddle Group,Jennifer Morgan,development,Dianaside,VES998,South Megan,LC73174,East Susan,Bullockville,AWB7282424,PKG296/CONT7560,check,Diverse fresh-thinking task-force,85,New Jennifer,Tracy Knox,INV02336,Walls-Garza,Tanzania,864,2018-07-04,Christopher Brown,New Joseph
Khan PLC,Michael Burnett,daughter,Smithtown,VES335,North Aliciaton,LC41513,Mendezview,North Kevinside,AWB2183231,PKG494/CONT6337,perform,Switchable full-range monitoring,41,Goodmouth,Lance Bauer,INV40766,Horton PLC,Indonesia,525,2017-07-20,Robert Olson,East Roytown
Hernandez-Martin,Christine Olson,religious,Johnsontown,VES383,Jenniferborough,LC21011,Matthewbury,Hernandezchester,AWB2444857,PKG571/CONT5037,by,Adaptive incremental structure,61,North Jennifer,Brandon Mckenzie,INV35245,"Gardner, Davis and Sampson",Bulgaria,997,1985-08-20,Mr. Joseph Burgess,Lake Tamaraside
Delacruz LLC,Dennis Davenport,bring,North Yvonnefurt,VES853,Port Matthewshire,LC91205,Barrettton,East Robert,AWB4914426,PKG072/CONT4342,can,Multi-tiered client-server alliance,32,Tyronehaven,Stephanie White,INV60495,"Tapia, Mason and Donaldson",Guinea-Bissau,615,2015-04-08,Stephen Carlson,Kristopherhaven
Chandler-Alexander,Colin Adams,thank,New Christymouth,VES597,South Donnaview,LC54850,New Loganton,Samuelport,AWB6094999,PKG155/CONT7923,fine,Team-oriented attitude-oriented solution,99,North Sandra,Brenda Russo,INV84348,Patton Group,Chad,827,1970-02-24,Eric Hall,Griffinborough
Hill Inc,Craig Anderson DDS,pressure,Williamston,VES097,Amyborough,LC65785,Brianville,Bryantshire,AWB7385698,PKG761/CONT0332,throw,Up-sized demand-driven functionalities,71,Kimberlyborough,Jessica Rodriguez,INV75580,Robertson PLC,Liechtenstein,603,1993-05-29,Ashley Scott,Martinezchester
James and Sons,Erin Clark,list,Reyesmouth,VES211,Barryville,LC72621,Huntermouth,North Jenniferhaven,AWB4218066,PKG183/CONT4280,do,Expanded non-volatile service-desk,60,Dayton,Steven Hess,INV22900,"Smith, Mcdonald and Thomas",Cape Verde,303,1982-11-27,Elizabeth Smith,Port Jeffreymouth
Christensen Inc,John Baker,down,Joseborough,VES875,Mooreville,LC19850,Ralphburgh,Penashire,AWB9607295,PKG474/CONT8774,land,Function-based incremental process improvement,10,West Maria,Phillip Burgess,INV62681,Simpson-Jones,Canada,575,1999-12-20,Emily Reed,Theodoreshire
Gray-Lopez,Kristen Perry,determine,Keithville,VES411,East Amanda,LC00488,Louisbury,South Melissa,AWB1787628,PKG066/CONT1379,religious,Fundamental impactful installation,58,Cookefurt,Christian Lee,INV72584,Simmons-Ramos,American Samoa,957,2005-09-07,David Salas,Thomasborough
"Roberts, Blair and Rodgers",Pamela Hall,bar,South Gail,VES314,Spenceburgh,LC12533,South Nathan,Graceville,AWB4539414,PKG242/CONT8431,face,Virtual 24hour task-force,39,West Caitlinside,Jessica Carlson,INV74473,"Young, Rodriguez and Shepard",El Salvador,466,1992-08-07,Anthony Bernard,Port Lindahaven
"Strickland, Lozano and Singh",Daniel Miranda,themselves,Williambury,VES079,Lake Deanna,LC68708,West Markview,Sheltonshire,AWB3036708,PKG126/CONT2859,care,Total context-sensitive system engine,80,Jennifermouth,Kristi Kelley,INV23835,Walton and Sons,Barbados,774,2006-12-29,Elizabeth Stevens,Leonardville
Vargas-Watson,Colin Maldonado,above,East Davidville,VES498,Cassandrahaven,LC79167,West Angela,New Austin,AWB7445526,PKG689/CONT6600,room,Networked explicit firmware,43,Joneschester,Patricia Webb,INV87671,Johnson Inc,Holy See (Vatican City State),471,2016-01-10,Jacob Lynch,Thompsonbury
Melton-Johnson,Mike Lopez,learn,Jenkinsfort,VES326,Frankchester,LC71418,Lake Taylormouth,North Meredith,AWB5380782,PKG037/CONT2628,walk,Networked radical forecast,75,South David,Kevin Key,INV62437,"Lee, Lopez and Saunders",Hong Kong,442,2023-05-30,Kathleen Fowler,North Ariel
"Hudson, Cuevas and Bryant",Ms. Crystal Jackson,your,Lake Ronaldport,VES247,Clarkeborough,LC54314,Smithstad,Robinsonbury,AWB9027122,PKG618/CONT4799,stop,Seamless client-driven conglomeration,69,Pamelaborough,Stacey White,INV92948,"Bean, Gates and Waters",Cocos (Keeling) Islands,388,2001-04-22,Jennifer Glenn,South Jacobborough
Smith Group,Aaron Benjamin,on,North Steventown,VES957,West Jose,LC56320,Patelport,Johnsonfort,AWB3456696,PKG782/CONT0569,answer,Object-based full-range flexibility,54,Jamiebury,Daniel Ross,INV42278,Stewart Ltd,Isle of Man,825,2003-01-09,William Cummings,Harristown
Meyer-Wang,Michael Price,member,New Kimberly,VES222,Guzmanmouth,LC52376,Maryborough,Gonzalezland,AWB3870393,PKG881/CONT5800,deal,Organic dedicated firmware,22,West Derek,Sarah Richards,INV98361,"Dunn, Miller and Garrett",Saint Kitts and Nevis,104,1973-07-07,Paul Reed,Thomasport
